# qdac_Pg_set	qdac_bias_left_set	dmm1_curr_3_4	dmm2_curr_3_5	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "Plunger"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 21	81
-1.51	-0.0002	8.72619237e-11	8.51185917e-10	0.248296237565436	0.011583214341284	0.00150364058375084	0.076640758796079
-1.51	-0.000195	7.55412399e-11	7.982859e-10	0.248495400734354	0.0120845144635863	0.00441507967504091	0.0763806478561148
-1.51	-0.00019	8.0397581e-11	7.48479976e-10	0.244194578998171	0.0113289977360324	0.00623199574787864	0.0755761634382643
-1.51	-0.000185	7.98695427e-11	6.98883157e-10	0.235797589683405	0.0109157667151922	0.00619583056470227	0.0746195338109492
-1.51	-0.00018	8.67011647e-11	6.5660512e-10	0.226026343912526	0.0101965040439235	0.00592664773590005	0.0742043626235488
-1.51	-0.000175	9.69142193e-11	6.17160645e-10	0.211395201967061	0.00995221661017898	0.00534028515600265	0.0732969057744713
-1.51	-0.00017	1.02573923e-10	5.79588983e-10	0.193568961365034	0.0095504577344912	0.00330090169548507	0.0726748599782418
-1.51	-0.000165	1.1040438e-10	5.48653225e-10	0.16856947794365	0.00913197089775472	0.0017974800470147	0.0719752785875536
-1.51	-0.00016	1.07124451e-10	5.18559112e-10	0.145881842623369	0.00756620736090782	0.00101395642701575	0.0714863290863792
-1.51	-0.000155	1.03395176e-10	4.94266589e-10	0.125771351058276	0.00691248788819197	0.00114291551120638	0.0701774175824753
-1.51	-0.00015	9.85822185e-11	4.67861039e-10	0.114730833910161	0.00628943577424554	0.00193851886019131	0.0689362738383376
-1.51	-0.000145	9.60747543e-11	4.4369216e-10	0.111175331746653	0.00609403604429489	0.00339386496799747	0.0675908614850301
-1.51	-0.00014	9.58364498e-11	4.17998783e-10	0.113039740900433	0.00656970517585229	0.00443403971704617	0.0663909384347526
-1.51	-0.000135	1.02376807e-10	3.92530767e-10	0.116166333468051	0.00730445226889888	0.004444527080267	0.0655319379153479
-1.51	-0.00013	1.10417218e-10	3.69948885e-10	0.118020329432363	0.00711425571476303	0.00377062316799476	0.0650198048507283
-1.51	-0.000125	9.92697445e-11	3.46100328e-10	0.117124981197312	0.00690061171275581	0.00457010368991944	0.0643584963032299
-1.51	-0.00012	1.02825654e-10	3.2080222e-10	0.112765924367027	0.00689398656790347	0.00514358548671066	0.063904406917864
-1.51	-0.000115	1.08784905e-10	2.9921413e-10	0.107822175767064	0.00679458341649969	0.005210866837504	0.0632993153648699
-1.51	-0.00011	1.16398859e-10	2.76977891e-10	0.104109524155687	0.00712381503813216	0.00450965599389241	0.0631426800139341
-1.51	-0.000105	1.22638344e-10	2.5639067e-10	0.100353502490661	0.00743084685269269	0.00345243880993422	0.0623029088893524
-1.51	-0.0001	1.25733658e-10	2.33883765e-10	0.0996138161059911	0.00769292598942226	0.00264257791452875	0.0614882136430609
-1.51	-9.5e-05	1.24221838e-10	2.13737425e-10	0.0990616764901838	0.00839563024233298	0.00245544611367251	0.0607312175203707
-1.51	-9e-05	1.19137525e-10	1.94320355e-10	0.0993916389219561	0.0088576300132411	0.00361410198406294	0.059882996619653
-1.51	-8.5e-05	1.15582499e-10	1.75520908e-10	0.0969295324554923	0.00884143118884731	0.00456901807112798	0.0588444397015512
-1.51	-8e-05	1.14018789e-10	1.60054399e-10	0.0903281672776562	0.00856013496164566	0.00583902299951265	0.058007687526127
-1.51	-7.5e-05	1.18606923e-10	1.44141765e-10	0.0792240553022494	0.00781373250836743	0.0060933435180643	0.0575989042610854
-1.51	-7e-05	1.25040153e-10	1.30903587e-10	0.0659328675364574	0.00640888185201533	0.00601162678948264	0.0571879771046472
-1.51	-6.5e-05	1.21200789e-10	1.20314072e-10	0.0554706104814812	0.00503776364925185	0.00618442063096096	0.0569424850993249
-1.51	-6e-05	1.19035834e-10	1.08592695e-10	0.0483610499977748	0.00420559732483699	0.00641471192466994	0.0567726363736164
-1.51	-5.5e-05	1.23287415e-10	9.93566882e-11	0.0456329150140906	0.00378571210479044	0.00630191218482373	0.0566585999297541
-1.51	-5e-05	1.29002533e-10	8.8688523e-11	0.0454040026201975	0.00379376366221833	0.00574405939944087	0.0568710694408005
-1.51	-4.5e-05	1.34615517e-10	7.97176232e-11	0.0452874421823916	0.00307211406548403	0.00538585584359742	0.0566442052297056
-1.51	-4e-05	1.40456508e-10	6.85484674e-11	0.044505958113377	0.00217457203376157	0.00437723068928259	0.0566170292141989
-1.51	-3.5e-05	1.37548827e-10	5.7818203e-11	0.0448684289424914	0.00158879977623093	0.00466886182785227	0.0563658930864366
-1.51	-3e-05	1.33518993e-10	4.7475265e-11	0.0480472542598372	0.00155261733128242	0.0047787229458786	0.0561939825069509
-1.51	-2.5e-05	1.28571866e-10	3.53238435e-11	0.0536446546513043	0.00128425734734243	0.00561511586793859	0.0557611515574865
-1.51	-2e-05	1.24615733e-10	2.38784009e-11	0.0578336166477207	0.00131546956634237	0.00644437159979904	0.0554498934868204
-1.51	-1.5e-05	1.22954231e-10	1.1104257e-11	0.061719874265491	0.00060721903623257	0.00690255461445145	0.055019928352756
-1.51	-1e-05	1.27643996e-10	-2.22702039e-12	0.061852390835866	-0.000425240377521746	0.00715307683515301	0.0546992688789653
-1.51	-4.99999999999999e-06	1.23424001e-10	-1.46769287e-11	0.0591519897141042	-0.000823940951762921	0.00644072848776269	0.0547051864585704
-1.51	0	1.21385692e-10	-2.63120058e-11	0.0536567523261986	-0.0014060859920254	0.00708915044245853	0.0550789892867448
-1.51	5.00000000000001e-06	1.22577802e-10	-3.65639605e-11	0.0511793542236612	-0.00157798597563325	0.00727727488699893	0.0555220693504386
-1.51	1e-05	1.2743913e-10	-4.80776815e-11	0.049904805148505	-0.0017432681634561	0.00732101957480263	0.0558952049479218
-1.51	1.5e-05	1.32304348e-10	-5.90258265e-11	0.0502819277273091	-0.00225844513048139	0.00650640909797728	0.0563572190757069
-1.51	2e-05	1.36345992e-10	-6.89724083e-11	0.049340020945822	-0.00303913703261629	0.00609829990029087	0.0565941355130938
-1.51	2.5e-05	1.36626189e-10	-7.89510017e-11	0.0481981579823221	-0.00287722535555715	0.00575754827920675	0.0570031867669089
-1.51	3e-05	1.33245567e-10	-8.75543813e-11	0.046214363597669	-0.00263435066176484	0.0057575024753195	0.0568102365153746
-1.51	3.5e-05	1.23557967e-10	-9.84061463e-11	0.0451726947536582	-0.00262373221100203	0.00640487230958568	0.0565795548618911
-1.51	4e-05	1.20346601e-10	-1.0945943e-10	0.0443703952471885	-0.00275587072900716	0.00690084620081859	0.056408114627508
-1.51	4.5e-05	1.16162064e-10	-1.20943424e-10	0.0475699047441473	-0.00297509749753648	0.00741819064501496	0.0564113960923495
-1.51	5e-05	1.18163027e-10	-1.33486868e-10	0.0516615985934806	-0.00366320845217954	0.00740270964145163	0.0565387170071226
-1.51	5.5e-05	1.22800108e-10	-1.44522566e-10	0.0569690813878025	-0.00390687719237636	0.00709705194115963	0.0568771510932954
-1.51	6e-05	1.16785765e-10	-1.57823532e-10	0.0590437559995288	-0.00378229972106273	0.0069034775272162	0.0574106957299231
-1.51	6.5e-05	1.21964348e-10	-1.70795164e-10	0.0600857420501869	-0.00386992650833189	0.00673086690081708	0.0579350413197551
-1.51	7e-05	1.27098704e-10	-1.84616976e-10	0.0605543245783955	-0.00367857016071228	0.00575470023936815	0.0588387518249312
-1.51	7.5e-05	1.24211743e-10	-2.00331743e-10	0.0601311903651365	-0.00405609130164341	0.00502084529492033	0.0597421560602433
-1.51	8e-05	1.25293969e-10	-2.14969723e-10	0.0647044285385503	-0.00486700055725462	0.00466394714774943	0.0602943995895854
-1.51	8.5e-05	1.28248145e-10	-2.32916611e-10	0.0711615349659016	-0.00476302557064873	0.00402492215193558	0.0608105852656215
-1.51	9e-05	1.24341406e-10	-2.4874354e-10	0.0779223411483697	-0.00506684633319191	0.00377196104947078	0.0610321553759713
-1.51	9.5e-05	1.17997074e-10	-2.66639137e-10	0.084870557375816	-0.00530285865916859	0.00384739684543363	0.0613014598943396
-1.51	0.0001	1.09752957e-10	-2.85113622e-10	0.0878343071505525	-0.00500350103344998	0.00465943547260689	0.0612050230508373
-1.51	0.000105	1.05337969e-10	-3.03928013e-10	0.0890474326364703	-0.00502514367460153	0.00515293937637102	0.0612077958918346
-1.51	0.00011	1.04820387e-10	-3.24925475e-10	0.0870290625276082	-0.00490704436585354	0.00573240369743476	0.0614054769246087
-1.51	0.000115	1.1004091e-10	-3.45184749e-10	0.0883305633836776	-0.00452899579737477	0.00569696590618358	0.061840506456433
-1.51	0.00012	1.06282697e-10	-3.648677e-10	0.0913815290792053	-0.00447996247862704	0.00551219095064572	0.062354597461295
-1.51	0.000125	1.00314483e-10	-3.88720371e-10	0.0978130017795019	-0.00479707078922575	0.0056011600629289	0.0630274677131875
-1.51	0.00013	1.0107469e-10	-4.13240917e-10	0.105475653503655	-0.00485468240916515	0.00597106307354905	0.0636778325691092
-1.51	0.000135	1.04396929e-10	-4.45249769e-10	0.117640816851653	-0.00568566159461462	0.00615639553654689	0.0643125065446906
-1.51	0.00014	1.11828569e-10	-4.77616717e-10	0.132657257697242	-0.0059051958298058	0.00500381687464357	0.0652176390196089
-1.51	0.000145	1.13595213e-10	-5.13648004e-10	0.151743133109052	-0.00610116229653669	0.0036220229664931	0.0659925136658669
-1.51	0.00015	1.07245296e-10	-5.5803527e-10	0.17178349972752	-0.00718252594948639	0.00313286324629743	0.0665369582422402
-1.51	0.000155	1.10858312e-10	-6.00478025e-10	0.192035356885739	-0.0078931638321272	0.00271416738710272	0.0673923163336273
-1.51	0.00016	1.09436927e-10	-6.49702381e-10	0.213117403285002	-0.00837013256101656	0.00108881138622771	0.0679792777818038
-1.51	0.000165	1.02936005e-10	-7.03254814e-10	0.232946104351697	-0.00915608079194435	-7.21303162755253e-05	0.0691291037711622
-1.51	0.00017	9.28165089e-11	-7.62099564e-10	0.252265499888083	-0.00925973822848426	0.00098208424006754	0.0703862282579803
-1.51	0.000175	8.50084338e-11	-8.25720117e-10	0.269562242984762	-0.00958619837786156	0.00356493740676854	0.0717696782807519
-1.51	0.00018	1.00969193e-10	-8.92075519e-10	0.291967048690089	-0.0105043466541869	0.0011642101802293	0.0732259167092186
-1.51	0.000185	9.25200313e-11	-9.68044192e-10	0.31300737671078	-0.01091704990547	-0.000864196859260168	0.0745411450369942
-1.51	0.00019	8.39375732e-11	-1.04459822e-09	0.337452510978422	-0.0113775613946358	0.000242080839368741	0.0758347430265598
-1.51	0.000195	7.33461964e-11	-1.1302999e-09	0.363772259790431	-0.0117295568252199	0.00312764947406446	0.0771005743415043
-1.51	0.0002	7.07787399e-11	-1.2097442e-09	0.384553133158018	-0.0114520800889396	0.00690160777465454	0.0781169485410231

-1.515	-0.0002	9.16091187e-11	8.32592078e-10	0.243403001685229	0.0118244910289283	0.0018904711779758	0.0780474580123914
-1.515	-0.000195	9.29547917e-11	7.79962833e-10	0.24204219923896	0.0114977116203778	0.00202189392596178	0.0778484698601931
-1.515	-0.00019	8.72192792e-11	7.29940539e-10	0.236454867478959	0.0107179892890962	0.00263674630353665	0.077337507186415
-1.515	-0.000185	8.8718971e-11	6.86556031e-10	0.227627896632001	0.0105840008442678	0.0040244883830442	0.0756431600538045
-1.515	-0.00018	9.23482154e-11	6.44054863e-10	0.219061671131254	0.00969575698554319	0.00511490444086789	0.0749454053478657
-1.515	-0.000175	9.06674991e-11	6.03596322e-10	0.203457552381877	0.00879274105700969	0.0054947547396264	0.0736791966645702
-1.515	-0.00017	9.47088979e-11	5.68506945e-10	0.184927765283756	0.00823775613673408	0.00552998162830737	0.0726572931929295
-1.515	-0.000165	1.04325238e-10	5.37134431e-10	0.164502646674796	0.00765691872696013	0.00474518020178894	0.0718920168353846
-1.515	-0.00016	1.1179895e-10	5.09133091e-10	0.141513203907197	0.00590974134508461	0.00313884542879548	0.0708830642181345
-1.515	-0.000155	1.16224555e-10	4.83119931e-10	0.125210428049813	0.00428827900984671	0.00149702586438245	0.070446410360239
-1.515	-0.00015	1.17076034e-10	4.59805063e-10	0.112879736576296	0.00367019148188878	0.000765549983436268	0.0693522435166202
-1.515	-0.000145	1.10388932e-10	4.34860848e-10	0.109105141805657	0.00368250586998921	0.0010143253356616	0.0685491045016332
-1.515	-0.00014	1.14230717e-10	4.09351552e-10	0.109861224587147	0.00358708935907147	0.0013786536981132	0.0668595045577863
-1.515	-0.000135	1.18442567e-10	3.86048933e-10	0.11264916977548	0.00274498565915257	0.00118085396819066	0.0662540137605257
-1.515	-0.00013	1.1814434e-10	3.6290249e-10	0.114346125673849	0.00298348096190735	0.00102690924835967	0.0648660462519756
-1.515	-0.000125	1.1935806e-10	3.400441e-10	0.114401473081333	0.00380516299954146	0.00121423571533739	0.0639812588717587
-1.515	-0.00012	1.19157033e-10	3.17776707e-10	0.10940098792154	0.00384496821807919	0.00125727121327893	0.0627348538419237
-1.515	-0.000115	1.14773475e-10	2.97092099e-10	0.102926719423884	0.00338204997817921	0.00180321235943744	0.0615677892130324
-1.515	-0.00011	1.06847058e-10	2.7721313e-10	0.0967939750600444	0.0034562183076042	0.00282656019076001	0.0612209873883428
-1.515	-0.000105	1.04722485e-10	2.56103762e-10	0.0908800607829545	0.00343708803935924	0.00424030977527963	0.0606552187483214
-1.515	-0.0001	1.05584686e-10	2.34937006e-10	0.0901631259024153	0.00377289148197872	0.00527978994721598	0.0603682216551905
-1.515	-9.5e-05	1.11436044e-10	2.14994818e-10	0.0920581620778251	0.00412863120323354	0.00566087011262194	0.0593620035931494
-1.515	-9e-05	1.14602276e-10	1.96059634e-10	0.0967404433958285	0.00450510330041	0.00513795742908048	0.0585592528856458
-1.515	-8.5e-05	1.12777615e-10	1.7798736e-10	0.0972293710210875	0.00412182660305614	0.00467733895064449	0.0572106301636349
-1.515	-8e-05	1.09511008e-10	1.61911369e-10	0.091934811739198	0.00443617506337617	0.0051653795539218	0.056008792922597
-1.515	-7.5e-05	1.09893706e-10	1.44844007e-10	0.0825136930214262	0.00434454557034138	0.00538212625134332	0.0551277573546732
-1.515	-7e-05	1.14923998e-10	1.2982495e-10	0.0692841913629055	0.00321754765152278	0.00565264012519243	0.053820973334642
-1.515	-6.5e-05	1.20934409e-10	1.18952351e-10	0.0571561906289594	0.00323750443921061	0.00501060711841376	0.053465508436006
-1.515	-6e-05	1.27007282e-10	1.09988895e-10	0.0490443717202258	0.00299383877521898	0.00455879083281407	0.0526482591125701
-1.515	-5.5e-05	1.29426451e-10	9.997154e-11	0.0447629243147334	0.00299438500271183	0.00404069336031817	0.0523457352143375
-1.515	-5e-05	1.26923454e-10	9.15852649e-11	0.0447307440631707	0.00256109550324008	0.00429993129363826	0.0517415788808082
-1.515	-4.5e-05	1.26642898e-10	8.20422689e-11	0.0436776994682689	0.0021313715224515	0.00487360245838886	0.0514713664919803
-1.515	-4e-05	1.26918446e-10	7.23636e-11	0.0437393719045611	0.00178654660958845	0.00515305149319801	0.0516292433322448
-1.515	-3.5e-05	1.21433834e-10	6.23393325e-11	0.0443024032551776	0.00124094027559691	0.00525091919140445	0.0515107987845305
-1.515	-3e-05	1.16165369e-10	4.86754542e-11	0.0469255668497573	0.000851640719391009	0.00536714362050382	0.0516133610323587
-1.515	-2.5e-05	1.14718495e-10	3.59893333e-11	0.0524829169358568	-0.000135974480076752	0.00605453948874714	0.0511626789036335
-1.515	-2e-05	1.26680671e-10	2.36654792e-11	0.0576149889173006	-0.000807269134606561	0.00523200905504995	0.0511113075383382
-1.515	-1.5e-05	1.22135507e-10	1.19965561e-11	0.0618116295479762	-0.000827156789280664	0.00527611504616002	0.0508304139759666
-1.515	-1e-05	1.15721259e-10	-1.06041224e-12	0.0632058154376037	-0.00148542280262225	0.00586291686381023	0.0510713556804627
-1.515	-4.99999999999999e-06	1.12859669e-10	-1.44995706e-11	0.0612891707998994	-0.00109879200188761	0.00668896393630956	0.0514062074979728
-1.515	0	1.15498019e-10	-2.65208108e-11	0.0582990435005383	-0.000597316953605994	0.00700675554405349	0.0513567776677449
-1.515	5.00000000000001e-06	1.19369177e-10	-3.70829575e-11	0.0545580782978606	-0.00107221835849425	0.0064849749667397	0.0518046486743823
-1.515	1e-05	1.25296524e-10	-4.87599128e-11	0.0520177361935483	-0.00154889782278477	0.00602880116672266	0.0519877818710016
-1.515	1.5e-05	1.28013688e-10	-5.9562848e-11	0.0515025130812841	-0.00108844299031404	0.00547570445717944	0.0524770048269922
-1.515	2e-05	1.27623479e-10	-6.93244938e-11	0.0499524848608622	-0.0010498210652973	0.0051277893255027	0.0528761296416168
-1.515	2.5e-05	1.22360431e-10	-7.78259144e-11	0.0476197666336894	-0.00137408186277015	0.00515830730932919	0.053432808619118
-1.515	3e-05	1.16269033e-10	-8.81321481e-11	0.0455922931889792	-0.00114280997444242	0.00593175656950964	0.0536301505669804
